sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Apis mellifera,prob_Vanessa atalanta,prob_Harmonia axyridis,prob_Pieris rapae,prob_Coccinella septempunctata,prob_Vanessa cardui,prob_Nymphalis antiopa,prob_Other,confidence_margin
115,0,Apis mellifera,7,Other,0,0.0001904292,2.1638731e-10,4.2235264e-08,2.1603203e-08,7.1378504e-06,1.8700177e-09,8.1924516e-11,0.9998024,0.9996119814022677
117,7,Other,6,Nymphalis antiopa,0,0.0009983637,0.0015780253,4.1995558e-05,0.00018802659,3.354066e-06,0.0003244115,0.98662716,0.010238578,0.9763885838910937
123,0,Apis mellifera,5,Vanessa cardui,0,0.017845996,1.1321723e-07,2.8816685e-06,7.3205492e-06,0.00032983147,0.9124132,1.2374373e-07,0.069400586,0.894567184150219
127,1,Vanessa atalanta,7,Other,0,0.00021471664,0.30171764,2.6249201e-05,9.931516e-07,2.0000653e-07,3.7879481e-06,0.016928589,0.6811078,0.3793901801109314
136,5,Vanessa cardui,7,Other,0,1.8240853e-07,6.123194e-05,4.1767523e-10,6.313915e-09,3.201783e-08,0.3862982,8.1912395e-07,0.61363953,0.22734132409095764
138,7,Other,4,Coccinella septempunctata,0,1.5239785e-08,9.559179e-07,0.28474814,4.6698747e-09,0.7149507,9.9533914e-08,2.7515143e-10,0.00030006864,0.7146506120916456
145,0,Apis mellifera,7,Other,0,0.16791283,0.00044413717,1.4876427e-05,0.053536635,2.8285336e-07,6.7604795e-08,4.8816037e-07,0.77809066,0.6101778298616409
168,0,Apis mellifera,7,Other,0,0.0016986933,4.6309465e-06,2.0836505e-07,2.483787e-07,2.6244105e-09,6.1353145e-05,0.0004698722,0.99776506,0.9960663709789515
169,0,Apis mellifera,7,Other,0,0.3719349,7.1498256e-09,7.0069497e-09,3.1169943e-08,0.00041752466,6.3051164e-05,3.0486325e-07,0.6275842,0.2556493282318115
181,3,Pieris rapae,7,Other,0,7.734016e-11,3.056151e-10,2.4377785e-11,0.06795212,9.247927e-09,9.931984e-10,7.2154224e-13,0.9320479,0.8640957847237587
194,0,Apis mellifera,7,Other,0,0.1018165,1.10913305e-07,5.2058465e-07,3.910563e-08,2.949753e-07,3.881868e-09,1.0503574e-09,0.8981825,0.7963660135865211
199,0,Apis mellifera,1,Vanessa atalanta,0,0.0036562239,0.8125888,2.5691526e-07,4.167663e-08,1.7573981e-07,0.00014781195,9.864107e-05,0.18350808,0.8089325870387256
208,0,Apis mellifera,7,Other,0,0.4667132,0.00029323495,8.7311155e-06,0.041465748,2.5913265e-05,8.872607e-05,0.00011819603,0.49128622,0.024573028087615967
218,0,Apis mellifera,7,Other,0,0.09011075,0.014207805,3.120702e-05,0.00021628648,0.002094527,0.18589985,0.17940618,0.52803344,0.4379226863384247
227,0,Apis mellifera,7,Other,0,0.00013449937,2.7601096e-05,8.985276e-09,6.308061e-07,4.2737526e-08,2.1498644e-07,7.993495e-06,0.99982905,0.9996945545135532
228,0,Apis mellifera,7,Other,0,0.29966524,0.00018389791,1.3622443e-07,5.348236e-08,0.0001410902,0.00080654566,0.00013001422,0.699073,0.3994077742099762
229,4,Coccinella septempunctata,2,Harmonia axyridis,0,1.3622974e-10,2.0317131e-08,0.99647397,3.451189e-10,0.0035255488,2.8196783e-12,1.3906348e-10,4.7220033e-07,0.99294841918163
231,0,Apis mellifera,7,Other,0,0.025851255,1.7202141e-05,3.196141e-05,8.740221e-08,3.3790826e-09,7.469308e-08,2.3261501e-08,0.9740994,0.9482481423765421
250,7,Other,0,Apis mellifera,0,0.86221206,0.05179321,0.001370742,0.0053793215,0.0063075363,0.0033447805,0.023261532,0.046330787,0.8158812746405602
251,0,Apis mellifera,7,Other,0,0.0013888305,0.0017931422,0.023217913,2.0241212e-05,0.01720029,2.6764357e-05,0.00053687743,0.955816,0.9544271404156461
255,0,Apis mellifera,7,Other,0,0.101874165,8.033784e-10,1.6168074e-09,2.7065484e-05,4.8376528e-08,2.8382228e-06,3.697397e-08,0.8980959,0.7962217405438423
259,1,Vanessa atalanta,5,Vanessa cardui,0,0.0015966002,0.11505009,3.8698255e-07,0.0002522096,3.984911e-05,0.8002195,0.0018138548,0.08102742,0.6851693838834763
269,0,Apis mellifera,7,Other,0,0.1838487,1.6221647e-07,2.31539e-09,1.530537e-07,3.8517058e-07,3.5608107e-06,8.4583405e-08,0.81614697,0.6322982758283615
276,2,Harmonia axyridis,7,Other,0,0.00036757975,3.9176716e-06,0.084590405,0.0002903608,3.44995e-05,1.0272024e-06,0.00033036823,0.9143818,0.829791396856308
279,2,Harmonia axyridis,7,Other,0,0.019330787,0.004580832,0.34143138,0.0015714192,9.193492e-05,3.497708e-05,0.00024346483,0.6327151,0.2912837266921997
282,5,Vanessa cardui,7,Other,0,7.6834485e-06,3.6727277e-05,8.457474e-09,3.2197515e-06,3.7519385e-06,0.00066440995,0.006762022,0.9925222,0.9918577701319009
287,7,Other,2,Harmonia axyridis,0,0.020591442,3.1340096e-05,0.7812711,3.5615149e-06,0.026585799,3.4336261e-07,1.3706247e-07,0.17151637,0.6097547262907028
294,0,Apis mellifera,7,Other,0,0.01720909,2.9598365e-07,9.236579e-13,2.0610933e-09,1.2338421e-09,2.7895743e-07,4.232803e-08,0.98279035,0.9655812606215477
296,2,Harmonia axyridis,7,Other,0,2.50366e-06,3.699952e-05,0.019163208,6.15026e-06,2.4548754e-05,1.340535e-07,0.00015728136,0.98060924,0.9614460300654173
297,0,Apis mellifera,7,Other,0,1.3177583e-08,1.6000429e-10,5.0591423e-11,5.926701e-09,1.299362e-11,2.9409597e-10,9.753938e-09,1.0,0.9999999868224174
298,4,Coccinella septempunctata,2,Harmonia axyridis,0,6.451739e-08,1.2837905e-08,0.7148726,1.8926993e-09,0.27029446,1.2815049e-09,2.1801687e-11,0.014832831,0.4445781409740448
299,7,Other,2,Harmonia axyridis,0,0.017305944,0.41347203,0.4834432,0.0017827079,0.012998035,0.0103768185,0.010449012,0.05017225,0.433270949870348
309,0,Apis mellifera,1,Vanessa atalanta,0,0.0683284,0.82442504,3.73177e-09,0.008370365,7.311027e-08,0.01554099,0.00011386128,0.0832213,0.756096638739109
318,4,Coccinella septempunctata,7,Other,0,2.1862777e-05,7.268605e-08,0.004636121,3.4038967e-05,0.20331627,8.477241e-07,4.358084e-08,0.79199076,0.5886744856834412
325,1,Vanessa atalanta,7,Other,0,0.00010275534,0.14198412,2.9681084e-08,2.4764955e-07,1.3421122e-06,0.00825458,7.054106e-05,0.8495863,0.7076021879911423
329,7,Other,1,Vanessa atalanta,0,5.640927e-06,0.50255805,0.21731544,1.5595908e-05,0.0012885634,9.367933e-06,3.2567244e-05,0.2787748,0.22378325462341309
342,7,Other,3,Pieris rapae,0,1.6964705e-06,0.006049224,6.105465e-07,0.624139,1.3346489e-06,4.393687e-05,0.0039581764,0.36580604,0.2583329677581787
343,0,Apis mellifera,2,Harmonia axyridis,0,0.0003746105,0.008149492,0.9721237,0.0005378149,1.5984739e-05,0.01620478,9.5060015e-05,0.0024985303,0.9717490719922353
348,0,Apis mellifera,7,Other,0,0.009094532,2.3005212e-05,6.635293e-07,0.00022391939,8.906799e-08,5.778653e-05,8.5805594e-05,0.99051416,0.9814196275547147
372,5,Vanessa cardui,1,Vanessa atalanta,0,5.486743e-09,0.996476,1.2429753e-09,2.000348e-08,1.7536518e-09,0.0035233642,4.4466493e-09,5.8657497e-07,0.9929526303894818
378,0,Apis mellifera,7,Other,0,0.00014674166,0.0016720229,8.950807e-07,0.00034962126,3.1686159e-06,0.0005020914,6.850355e-06,0.99731857,0.9971718241868075
380,0,Apis mellifera,7,Other,0,0.0025928938,0.0047611073,8.280228e-05,9.718295e-06,4.5804666e-07,3.9062875e-06,2.2596939e-07,0.9925488,0.9899559295736253
404,7,Other,6,Nymphalis antiopa,0,0.00303296,1.6739638e-06,3.9944687e-05,1.5052469e-06,2.007037e-06,4.448428e-05,0.6783846,0.3184928,0.359891802072525
410,5,Vanessa cardui,2,Harmonia axyridis,0,4.9880822e-05,0.00014718562,0.4554279,0.00023833578,0.0029841538,0.31309977,0.0002845648,0.2277682,0.142328143119812
416,5,Vanessa cardui,7,Other,0,0.00016377568,0.0015782127,5.452464e-05,1.4337921e-05,5.973929e-05,1.0507369e-05,0.0026817822,0.9954371,0.9954265782598668
429,7,Other,1,Vanessa atalanta,0,2.7204755e-06,0.97139865,2.4484918e-06,1.03939865e-05,1.0731184e-06,3.2887274e-05,5.2202477e-06,0.02854669,0.9428519625216722
431,0,Apis mellifera,5,Vanessa cardui,0,0.024311675,0.0051104664,0.00020950992,0.0007989731,0.031023758,0.5648389,0.0014980747,0.37220865,0.5405272115021944
434,4,Coccinella septempunctata,7,Other,0,4.7111388e-07,0.00022791263,0.017953936,0.0014205009,0.08321661,2.364204e-05,4.0227893e-05,0.89711666,0.8139000535011292
475,2,Harmonia axyridis,7,Other,0,0.000257742,8.944112e-06,0.010695165,5.8053224e-09,0.0046923207,1.1849863e-06,7.303623e-09,0.98434466,0.9736494962126017
484,3,Pieris rapae,7,Other,0,0.3121519,0.012851646,1.7289402e-05,2.8149567e-05,0.0024271384,3.1760977e-05,0.003637312,0.66885483,0.6688266830824432
490,3,Pieris rapae,7,Other,0,2.7816253e-05,1.4210782e-07,1.3321378e-08,0.09789614,2.5008478e-06,3.233161e-07,5.1492743e-06,0.90206796,0.8041718229651451
516,7,Other,3,Pieris rapae,0,5.2813135e-08,1.1993134e-08,3.4025227e-09,0.9812571,2.2765893e-10,5.5916938e-09,1.1720789e-08,0.01874276,0.9625143203884363
517,0,Apis mellifera,7,Other,0,0.00013449937,2.7601096e-05,8.985276e-09,6.308061e-07,4.2737526e-08,2.1498644e-07,7.993495e-06,0.99982905,0.9996945545135532
520,0,Apis mellifera,7,Other,0,0.27332345,2.142112e-06,5.1525567e-06,0.006425469,0.012377658,0.00026539204,2.6466907e-05,0.70757425,0.4342508018016815
525,0,Apis mellifera,7,Other,0,2.3019716e-06,8.006583e-08,1.5708468e-09,2.7533525e-10,4.42334e-09,1.0207303e-06,1.0770825e-06,0.99999547,0.9999931680754344
526,0,Apis mellifera,7,Other,0,0.11223553,0.0050733597,0.3317337,0.00694553,0.13769196,7.635214e-05,0.00024856,0.405995,0.2937594801187515
527,5,Vanessa cardui,6,Nymphalis antiopa,0,0.0001471098,0.0116655445,6.0566963e-06,0.0011353241,0.00077296223,0.008481039,0.8478549,0.12993711,0.8393738735467196
534,0,Apis mellifera,7,Other,0,1.01223795e-05,9.714946e-06,3.8775174e-06,4.6904117e-07,4.2909037e-06,1.0784829e-05,0.0004095211,0.9995511,0.9995409950406611
538,5,Vanessa cardui,7,Other,0,7.382271e-06,0.1144846,5.9866015e-06,6.907092e-07,1.3861971e-07,0.108274065,0.030347336,0.7468798,0.6386057510972023
550,3,Pieris rapae,7,Other,0,1.5452344e-10,4.0139853e-10,1.0431716e-10,0.13292034,6.0399654e-09,2.1747638e-08,6.067739e-06,0.86707354,0.7341531962156296
558,7,Other,2,Harmonia axyridis,0,0.12751696,0.00013563539,0.48054677,0.00079667644,3.217794e-05,0.0011379608,4.6707042e-05,0.38978708,0.09075969457626343
564,2,Harmonia axyridis,7,Other,0,0.040727332,1.1203599e-06,6.201175e-05,3.6366052e-06,4.3958885e-08,2.982791e-07,2.4382109e-08,0.9592055,0.9591434964822838
572,0,Apis mellifera,7,Other,0,0.031144913,0.00017687683,0.12897521,0.00011895192,3.9683096e-06,0.002591942,8.4900995e-07,0.8369873,0.8058424033224583
579,5,Vanessa cardui,0,Apis mellifera,0,0.4231055,0.15998875,2.6511194e-07,4.0921645e-06,4.874564e-07,0.3453021,1.1103794e-05,0.07158771,0.07780340313911438
582,0,Apis mellifera,7,Other,0,0.4957797,6.9788114e-10,3.1468708e-09,7.82798e-07,5.01255e-07,3.4992855e-08,5.061557e-09,0.504219,0.008439302444458008
591,0,Apis mellifera,7,Other,0,2.7784008e-08,1.1546432e-06,4.4289986e-10,4.741964e-09,3.187074e-12,6.384894e-09,7.975666e-06,0.9999908,0.9999907931006966
605,0,Apis mellifera,7,Other,0,0.066553675,3.207596e-05,0.00014529402,1.848258e-05,0.00048902654,0.0041807066,1.5805024e-05,0.9285649,0.862011231482029
611,4,Coccinella septempunctata,2,Harmonia axyridis,0,2.5570586e-08,3.2748065e-10,0.9414613,5.059737e-08,0.037997723,2.8120642e-10,1.6885425e-09,0.020540925,0.90346360206604
612,0,Apis mellifera,1,Vanessa atalanta,0,0.07707583,0.8995709,2.5693444e-07,3.0370054e-05,4.1078117e-08,0.0062533705,3.7703732e-05,0.017031424,0.8224950507283211
623,1,Vanessa atalanta,7,Other,0,0.021439338,0.12181496,5.6432384e-07,0.00021271135,1.0188404e-07,0.010027669,0.001771052,0.84473354,0.7229185774922371
629,6,Nymphalis antiopa,1,Vanessa atalanta,0,0.02219746,0.5921632,0.00012319702,0.00040466274,0.00045456536,0.00011035351,0.38093123,0.003615343,0.21123197674751282
640,1,Vanessa atalanta,7,Other,0,0.015041308,5.1467883e-05,5.4761045e-09,0.004513935,7.232962e-07,2.60368e-05,2.6568123e-06,0.98036385,0.9803123779420275
647,4,Coccinella septempunctata,3,Pieris rapae,0,0.17782095,0.025636854,2.4824084e-07,0.79567415,7.4286268e-06,0.0007953319,2.2928744e-07,6.4711174e-05,0.7956667165949511
655,7,Other,2,Harmonia axyridis,0,6.118912e-05,4.005899e-05,0.95341784,0.00029511558,0.0027121585,5.1213333e-06,1.2294365e-06,0.043467138,0.9099506996572018
658,0,Apis mellifera,7,Other,0,0.011759774,0.00010046037,1.4413874e-05,0.0027335777,0.00015005915,0.00018650171,0.00016577133,0.9848894,0.9731296142563224
684,0,Apis mellifera,7,Other,0,0.015155458,4.4977245e-08,7.345041e-08,4.7674888e-07,2.3177796e-08,5.439313e-07,3.2086807e-09,0.9848433,0.9696878558024764
688,2,Harmonia axyridis,7,Other,0,7.231866e-05,3.4799964e-06,1.22859e-09,5.2557207e-06,0.008551207,8.144455e-05,0.000887003,0.9903992,0.990399180614214
689,7,Other,4,Coccinella septempunctata,0,1.2075076e-06,4.9180798e-08,0.1174005,1.17383685e-07,0.8825979,1.3671185e-09,3.5851624e-08,2.2196645e-07,0.8825977013123634
694,7,Other,4,Coccinella septempunctata,0,3.0003364e-06,1.1476282e-06,5.866429e-06,8.26256e-08,0.9911004,1.0652404e-07,4.127985e-08,0.008889463,0.9822109080851078
704,7,Other,2,Harmonia axyridis,0,9.835792e-09,1.7579176e-05,0.9988399,2.7578545e-07,2.0022226e-05,3.9645615e-06,2.0786342e-08,0.0011182402,0.9977216746192425
707,0,Apis mellifera,7,Other,0,0.0008043382,3.484179e-07,2.901026e-10,3.9624334e-07,2.1642666e-06,0.0022811291,2.4600118e-07,0.99691147,0.9961071279249154
710,0,Apis mellifera,7,Other,0,0.0007677248,5.8469723e-08,2.8736144e-11,2.175925e-08,6.743682e-10,1.0185678e-05,6.183749e-10,0.9992219,0.998454196145758
718,7,Other,3,Pieris rapae,0,1.50897e-05,2.5748026e-05,4.8502477e-07,0.9556669,1.5169996e-07,4.978435e-05,0.00440058,0.03984133,0.9158255681395531
746,4,Coccinella septempunctata,7,Other,0,4.432342e-09,0.0009634379,4.7410853e-07,5.7256262e-08,0.20084645,2.394901e-07,3.420904e-08,0.7981893,0.5973428338766098
755,7,Other,0,Apis mellifera,0,0.44869918,0.0058390447,0.002447296,0.0072358907,0.25497875,0.0036716948,0.003557056,0.27357107,0.17512810230255127
760,0,Apis mellifera,7,Other,0,0.03927098,0.03436015,3.1882414e-07,0.01013572,2.6289288e-05,0.000959169,0.0008223902,0.914425,0.8751540370285511
763,0,Apis mellifera,7,Other,0,0.030523697,4.994971e-09,7.233605e-09,1.6240364e-07,1.675e-08,0.0014105944,2.901919e-07,0.96806514,0.9375414457172155
770,0,Apis mellifera,7,Other,0,0.011678248,2.1476235e-06,2.268225e-10,5.6644614e-05,3.7432503e-08,0.00024359144,2.1537795e-05,0.9879978,0.9763195225968957
771,7,Other,2,Harmonia axyridis,0,8.284394e-05,9.244704e-05,0.906453,3.742672e-05,3.4913942e-06,2.0785958e-05,9.661457e-06,0.09330042,0.8131525963544846
783,0,Apis mellifera,7,Other,0,0.0049653514,8.8078224e-07,3.1431554e-08,1.5203025e-07,0.0001275027,0.0013302926,2.527548e-08,0.99357575,0.988610400352627
800,2,Harmonia axyridis,1,Vanessa atalanta,0,0.00021555791,0.9946004,0.0031034863,0.00011062613,0.0002628211,0.0013076318,0.000100252146,0.00029921826,0.9914969289675355
808,2,Harmonia axyridis,7,Other,0,1.1880668e-07,9.157308e-07,0.012243398,5.456681e-07,2.8785806e-07,5.8843025e-10,4.5931986e-07,0.9877543,0.9755108868703246
820,7,Other,1,Vanessa atalanta,0,0.030715505,0.52322084,0.0033155945,0.019376354,1.3055263e-06,0.006259894,0.0010378535,0.41607273,0.10714811086654663
833,7,Other,0,Apis mellifera,0,0.5288774,0.002340329,0.00032771492,1.9466182e-05,0.0017242061,0.00010104717,0.00027656645,0.46633333,0.06254404783248901
834,0,Apis mellifera,7,Other,0,0.00067690003,4.058601e-05,4.080439e-07,4.3502265e-08,1.0917549e-06,3.99043e-07,1.1715346e-06,0.9992793,0.9986024202080444
839,0,Apis mellifera,7,Other,0,0.0020927503,0.00035679564,8.8911456e-08,1.6686848e-06,3.053595e-07,6.3650816e-07,3.6643817e-06,0.997544,0.9954512403346598
845,2,Harmonia axyridis,4,Coccinella septempunctata,0,9.4288185e-07,4.7155802e-07,0.20733316,2.2227463e-05,0.73551077,5.2373857e-06,4.5670618e-06,0.057122566,0.5281776040792465
847,0,Apis mellifera,7,Other,0,0.0015639166,1.7424523e-10,8.220893e-11,8.0443496e-10,2.6782668e-10,2.3920093e-08,4.5215542e-09,0.99843603,0.9968721171608195
850,7,Other,6,Nymphalis antiopa,0,0.00014184944,0.0424765,2.6793155e-06,0.0010439376,0.00040561694,0.0013452712,0.517502,0.43708208,0.08041992783546448
858,0,Apis mellifera,7,Other,0,0.11264624,0.0009945611,0.00072942337,0.002252066,0.0011016191,0.0039231805,0.061360642,0.8169923,0.7043460458517075
859,6,Nymphalis antiopa,1,Vanessa atalanta,0,1.588839e-05,0.97323644,1.7008354e-07,1.1916836e-06,6.194719e-09,0.0022219287,0.021325702,0.0031986951,0.9519107397645712
860,7,Other,1,Vanessa atalanta,0,0.0001381174,0.49121153,4.3280374e-06,0.00016317707,0.00013494042,0.3172374,0.00035917532,0.19075122,0.3004603087902069
884,0,Apis mellifera,7,Other,0,0.00010782209,2.0850182e-09,1.3138648e-11,2.629457e-10,1.1122891e-10,5.0744735e-11,5.3264454e-12,0.9998921,0.99978429350449
886,0,Apis mellifera,3,Pieris rapae,0,0.1869813,8.712757e-05,8.014057e-08,0.8097102,5.5499396e-07,9.9430625e-05,2.410337e-05,0.0030972816,0.6227288991212845
887,0,Apis mellifera,6,Nymphalis antiopa,0,0.03791696,0.008201526,2.6618898e-05,0.03220439,0.006393443,0.011053555,0.62263477,0.28156877,0.5847178101539612
895,3,Pieris rapae,6,Nymphalis antiopa,0,0.024316635,0.028396504,0.00031825504,0.02576803,0.0042238953,0.0007981954,0.7884453,0.12773314,0.762677263468504
899,0,Apis mellifera,7,Other,0,0.2903247,1.1694415e-05,9.280841e-08,8.3919615e-05,0.006025838,0.0017138803,3.4996867e-06,0.70183635,0.4115116596221924
904,2,Harmonia axyridis,4,Coccinella septempunctata,0,1.8613404e-08,3.3834663e-06,0.0054877363,8.090735e-09,0.9944719,1.4932774e-06,3.7779973e-08,3.5426398e-05,0.9889841713011265
915,0,Apis mellifera,7,Other,0,0.00086912664,7.00626e-05,2.426877e-05,4.814454e-07,0.0003120006,0.00040514933,8.56194e-08,0.9983188,0.9974496647482738
919,0,Apis mellifera,7,Other,0,0.019272946,0.0002573134,5.0680865e-05,1.3145893e-06,5.8167774e-05,0.0017998301,8.813678e-06,0.9785508,0.9592778459191322
923,0,Apis mellifera,4,Coccinella septempunctata,0,0.06591527,0.00058784155,0.26098806,8.647714e-05,0.6532614,0.0010856122,0.0073550795,0.010720251,0.587346151471138
924,7,Other,6,Nymphalis antiopa,0,0.00030736162,0.26498187,0.009364251,0.017582756,0.0107581625,0.0047077527,0.63694984,0.05534796,0.5816018767654896
925,0,Apis mellifera,7,Other,0,0.42651305,0.006024661,0.0005811945,0.0010748008,4.444457e-05,4.492241e-06,1.9721254e-05,0.56573766,0.13922461867332458
950,0,Apis mellifera,7,Other,0,0.002798683,2.3420001e-09,1.4324251e-13,8.1490203e-10,6.31421e-11,7.538492e-07,7.313918e-11,0.9972006,0.9944019252434373
954,7,Other,1,Vanessa atalanta,0,0.009629626,0.98905164,2.7028233e-05,0.000275,2.3491395e-06,6.913647e-05,4.456347e-05,0.000900643,0.9881509970291518
973,7,Other,2,Harmonia axyridis,0,1.210129e-08,0.00086485065,0.71248055,8.4218186e-08,5.399662e-06,6.3309393e-09,3.5007058e-10,0.28664908,0.42583146691322327
979,0,Apis mellifera,7,Other,0,0.22242531,0.00010122062,2.1109581e-05,3.794981e-05,7.679399e-08,2.0584663e-05,0.00013783434,0.77725583,0.5548305213451385
980,7,Other,0,Apis mellifera,0,0.46370217,0.31309646,0.0016591098,0.005033646,0.0007277752,0.003003214,0.09273561,0.12004204,0.3436601310968399
995,7,Other,6,Nymphalis antiopa,0,0.0003637791,0.027338294,5.834159e-05,0.00043104426,1.6756625e-05,2.5184368e-05,0.9628797,0.008886979,0.9539927383884788
996,5,Vanessa cardui,7,Other,0,0.0040461803,0.0017575278,0.02020139,7.980035e-05,5.6852814e-06,0.18446386,3.7577112e-05,0.789408,0.6049441695213318
997,7,Other,0,Apis mellifera,0,0.87376344,0.0006470895,0.03510159,7.187533e-05,0.0007113337,3.7929378e-05,0.07194224,0.017724466,0.8560389764606953
1000,4,Coccinella septempunctata,7,Other,0,0.0012637108,0.00011402708,0.0004188904,0.00010921543,0.0033606894,0.0013997477,0.0042161634,0.98911756,0.9857568733859807
1010,3,Pieris rapae,7,Other,0,0.00017115452,1.6603838e-06,7.651963e-07,5.854534e-05,1.7954802e-05,0.00019476235,1.1124139e-06,0.9995541,0.999495552310691
1027,5,Vanessa cardui,7,Other,0,0.00034533624,0.00039465388,3.056975e-06,0.00013474359,5.217284e-05,0.09847185,0.00091083866,0.8996873,0.8012154400348663
1028,4,Coccinella septempunctata,7,Other,0,2.8247796e-05,0.00013233296,0.00025834012,0.00020084353,0.00044140636,1.2132571e-06,6.8228794e-05,0.99886936,0.9984279531345237
1032,0,Apis mellifera,7,Other,0,0.0036574523,3.3147312e-08,1.07704594e-07,3.3024291e-06,9.5744086e-05,1.7237952e-07,7.3965176e-09,0.9962431,0.9925856669433415
1042,0,Apis mellifera,7,Other,0,0.026960513,1.458003e-07,8.8060215e-06,1.8786006e-08,1.0499533e-08,2.5393828e-07,1.6268905e-09,0.97303027,0.9460697565227747
1054,0,Apis mellifera,7,Other,0,3.933975e-07,3.457661e-07,1.6825977e-08,2.4245206e-09,3.4690893e-07,3.611056e-06,2.4236513e-09,0.99999535,0.999994957440208
1067,7,Other,0,Apis mellifera,0,0.800524,0.00020727805,7.03299e-05,9.7562246e-05,0.0011229153,0.00027600498,8.022446e-06,0.1976939,0.602830097079277
1071,4,Coccinella septempunctata,7,Other,0,0.002900739,9.593465e-06,2.6753421e-05,0.0003728262,0.0004186313,5.169694e-07,8.065916e-07,0.99627006,0.9958514292375185
1088,2,Harmonia axyridis,7,Other,0,0.0003506465,0.008910068,0.004353834,6.4811725e-06,0.0076361066,0.00020292663,0.063563816,0.9149762,0.9106223457492888
1092,3,Pieris rapae,7,Other,0,1.9396261e-10,1.4683553e-13,4.342876e-14,2.4133986e-09,1.7523094e-10,3.8635297e-12,4.0707406e-13,1.0,0.9999999975866014
1103,0,Apis mellifera,3,Pieris rapae,0,0.006699016,0.098475456,2.3020228e-08,0.48010847,6.1543807e-07,0.011114677,0.00051567913,0.4030861,0.47340945387259126
1113,0,Apis mellifera,6,Nymphalis antiopa,0,0.0027631372,0.3074954,3.24764e-05,0.000117382435,0.003771294,0.026997343,0.45179847,0.20702448,0.44903533160686493
1114,0,Apis mellifera,7,Other,0,0.19793485,9.768673e-07,4.533474e-06,3.8343939e-07,9.079496e-07,0.00021177162,3.5611965e-06,0.801843,0.6039081364870071
1115,7,Other,2,Harmonia axyridis,0,5.3914753e-09,1.4542705e-06,0.9998204,9.2473834e-10,0.00017808873,4.702858e-10,1.3899792e-10,1.0884087e-07,0.9998203023644194
1133,7,Other,3,Pieris rapae,0,0.1722887,0.04218328,0.0007853614,0.615882,0.00021295952,0.0026836903,0.076498374,0.08946571,0.5264162719249725
1144,0,Apis mellifera,7,Other,0,0.00044222624,5.918134e-11,4.054813e-11,8.717082e-09,2.0576835e-11,7.574001e-11,1.3671755e-10,0.9995578,0.9991155668976717
