sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Apis mellifera,prob_Vanessa atalanta,prob_Harmonia axyridis,prob_Pieris rapae,prob_Coccinella septempunctata,prob_Vanessa cardui,prob_Nymphalis antiopa,prob_Other
23,3,Pieris rapae,3,Pieris rapae,1,0.00028883934,3.090455e-05,8.252318e-07,0.9471623,5.205584e-09,0.00021446035,0.0011750882,0.05112762
24,1,Vanessa atalanta,1,Vanessa atalanta,1,1.2604794e-13,1.0,4.8605195e-13,3.1553848e-12,1.0963158e-11,1.1339658e-11,5.3974114e-10,2.3880414e-12
25,7,Other,7,Other,1,7.9501655e-11,2.25898e-10,7.269861e-09,4.2736634e-10,4.798804e-08,2.3727442e-09,2.2514009e-10,1.0
26,7,Other,7,Other,1,0.00029309097,5.807799e-07,1.2582214e-08,7.488004e-09,3.9844586e-08,5.3091803e-10,2.6764887e-06,0.9997037
27,1,Vanessa atalanta,6,Nymphalis antiopa,0,0.0007686465,0.070582815,1.1457183e-06,0.00018549818,1.6560052e-05,0.00019047102,0.81964254,0.10861223
28,0,Apis mellifera,0,Apis mellifera,1,0.99999785,6.668387e-07,7.2392243e-09,6.959292e-07,2.494934e-08,6.10816e-07,3.1611536e-09,5.470035e-08
29,0,Apis mellifera,0,Apis mellifera,1,0.92066157,0.0005252932,2.4724312e-07,0.0060016266,5.2431174e-06,0.011391574,1.0341639e-05,0.06140413
30,7,Other,7,Other,1,1.5031104e-13,9.0580885e-13,6.675393e-11,7.993591e-11,1.3561042e-13,2.3659234e-14,2.5328515e-12,1.0
31,3,Pieris rapae,3,Pieris rapae,1,2.0168757e-13,5.957892e-11,7.332565e-12,0.99999905,5.136359e-14,8.303407e-11,3.9919082e-10,9.504502e-07
32,0,Apis mellifera,0,Apis mellifera,1,0.99569064,3.521655e-05,3.7536294e-05,0.00062362204,0.00014885192,1.177635e-05,1.6305932e-05,0.0034360876
33,3,Pieris rapae,3,Pieris rapae,1,8.3772794e-11,8.328659e-10,1.8677724e-08,0.9999852,4.734287e-11,4.0608025e-12,6.742696e-10,1.4755519e-05
34,4,Coccinella septempunctata,4,Coccinella septempunctata,1,2.4492745e-06,3.7219948e-07,0.00072492193,4.0704694e-07,0.9989467,5.3633696e-05,2.4737759e-07,0.00027121496
35,7,Other,7,Other,1,4.7911276e-06,5.595248e-09,7.764329e-11,2.103078e-09,1.0486443e-09,2.1651178e-05,6.284798e-10,0.99997354
36,7,Other,7,Other,1,2.2104114e-08,3.1472338e-09,3.586634e-08,4.3151926e-10,2.4498765e-09,5.9473776e-10,1.4043894e-06,0.99999845
37,4,Coccinella septempunctata,4,Coccinella septempunctata,1,8.4441245e-09,1.5879021e-06,6.026175e-05,3.2247005e-08,0.99993813,1.0157557e-09,9.333571e-10,2.191709e-09
38,7,Other,7,Other,1,0.0008674071,0.00030257454,3.1030706e-07,6.457109e-08,6.380931e-08,0.00062289316,9.4726295e-07,0.9982058
39,7,Other,7,Other,1,5.0625882e-11,2.9620507e-12,1.7435547e-10,1.3085474e-10,8.885507e-15,1.3594249e-12,7.9572356e-11,1.0
40,7,Other,7,Other,1,1.7783894e-10,4.0577985e-09,1.5349643e-07,1.8132928e-09,2.1096902e-11,1.1009221e-08,8.59659e-07,0.99999905
41,7,Other,7,Other,1,1.5161419e-09,5.788825e-06,0.009093719,1.4948375e-07,6.762226e-05,1.8298283e-07,1.1503524e-06,0.9908313
42,7,Other,6,Nymphalis antiopa,0,1.3871665e-05,0.03491741,0.0014608691,1.3370984e-05,0.0036886237,0.000710382,0.8797105,0.079485014
43,0,Apis mellifera,7,Other,0,0.16424766,2.164624e-07,1.00987435e-07,4.6483772e-09,8.0512245e-07,0.000103572806,8.38802e-07,0.8356468
44,4,Coccinella septempunctata,4,Coccinella septempunctata,1,3.66848e-10,9.9231956e-11,0.00036353216,1.1028159e-11,0.9996364,4.089945e-12,5.0075126e-12,1.537942e-08
45,2,Harmonia axyridis,2,Harmonia axyridis,1,1.1768343e-12,1.9788628e-14,1.0,4.3663795e-15,4.81166e-13,4.4761297e-14,3.342498e-15,3.780535e-13
46,0,Apis mellifera,0,Apis mellifera,1,0.9828736,0.00022339451,4.5001198e-05,0.0011883614,1.5113696e-06,0.0002983752,0.00051744527,0.0148523385
47,7,Other,7,Other,1,1.27334715e-05,0.0010057825,5.9538554e-05,2.4825858e-06,0.000113495764,0.0016501038,5.219685e-06,0.9971507
48,2,Harmonia axyridis,2,Harmonia axyridis,1,7.6107225e-11,3.4898184e-10,0.9999845,4.386551e-09,4.6584861e-07,8.6352e-12,1.7814095e-09,1.5033627e-05
49,7,Other,7,Other,1,1.104591e-09,2.2727497e-06,3.9173213e-11,2.2126356e-10,7.143619e-10,1.8412688e-07,1.3070684e-06,0.9999962
50,7,Other,7,Other,1,9.108844e-05,0.0006133013,4.5867387e-06,0.0009054765,3.427945e-08,1.9752648e-05,8.9517876e-08,0.9983657
51,7,Other,7,Other,1,4.4234866e-11,0.0019862705,1.6889461e-14,8.971581e-08,3.442138e-11,2.5155462e-08,2.7618923e-11,0.9980136
52,7,Other,7,Other,1,1.1193911e-08,7.306416e-10,1.0349355e-09,3.3902158e-08,1.1960117e-07,2.0004187e-09,3.262556e-10,0.9999999
53,1,Vanessa atalanta,1,Vanessa atalanta,1,5.886772e-07,0.99786085,0.0020825416,1.830654e-05,4.189412e-06,2.3645322e-05,7.159754e-06,2.711786e-06
54,0,Apis mellifera,0,Apis mellifera,1,0.97197366,3.2610547e-05,6.7173e-08,8.9002286e-05,6.824625e-06,4.120771e-05,0.0018267868,0.026029835
55,1,Vanessa atalanta,1,Vanessa atalanta,1,1.9998652e-09,0.9999995,1.288112e-07,4.5782385e-11,1.1099391e-07,3.1209815e-10,2.7329204e-07,5.0369103e-10
56,7,Other,7,Other,1,6.0757794e-09,2.9812732e-09,1.8742236e-05,4.3773152e-08,6.896168e-07,2.457322e-07,5.9693733e-10,0.9999802
57,2,Harmonia axyridis,2,Harmonia axyridis,1,8.051624e-08,1.838952e-10,0.9999709,4.174171e-09,2.8339125e-05,8.593485e-11,1.8539692e-10,5.7474165e-07
58,0,Apis mellifera,0,Apis mellifera,1,0.99970585,3.732618e-05,1.8200845e-06,5.193639e-06,4.7090128e-07,2.0150978e-06,0.00024105191,6.266696e-06
59,1,Vanessa atalanta,1,Vanessa atalanta,1,4.1929738e-08,0.99996173,9.611196e-06,3.3427823e-09,7.1941605e-07,4.753118e-09,3.4920465e-06,2.4400942e-05
60,0,Apis mellifera,7,Other,0,0.06689707,0.0015877741,8.486015e-08,0.00020076898,0.0001626193,0.0075412476,0.0009045937,0.9227059
61,0,Apis mellifera,7,Other,0,0.30609587,0.0012019551,8.662747e-05,9.0596295e-06,5.7175956e-05,2.8378992e-05,0.008579028,0.68394196
62,7,Other,7,Other,1,4.8110524e-09,2.5264842e-06,1.9055667e-10,6.4322663e-09,1.3193497e-08,2.9633268e-06,7.59874e-07,0.9999938
63,7,Other,7,Other,1,4.4548605e-07,2.758671e-10,1.1521465e-16,6.399979e-09,5.2987315e-12,4.527229e-07,1.05359e-07,0.9999989
64,7,Other,7,Other,1,0.00015275624,0.00012781825,0.0050152657,2.9178733e-07,0.0005618926,8.860637e-07,3.597244e-06,0.9941375
65,7,Other,7,Other,1,5.2912915e-13,1.2197973e-11,3.0035828e-11,1.4292084e-07,1.2431044e-10,3.2534628e-11,6.935487e-11,0.9999999
66,7,Other,7,Other,1,2.4855273e-10,1.3067623e-07,7.015481e-09,1.2933455e-08,4.3728956e-08,9.2026635e-09,1.6830402e-10,0.9999999
67,1,Vanessa atalanta,1,Vanessa atalanta,1,1.6566216e-10,1.0,2.0902323e-13,6.545445e-14,5.3344727e-16,4.403506e-11,6.754795e-13,5.993127e-11
68,2,Harmonia axyridis,2,Harmonia axyridis,1,1.344346e-06,0.002012673,0.9676197,2.5939144e-07,7.5859098e-06,0.0012577382,0.0035227803,0.025577908
69,0,Apis mellifera,0,Apis mellifera,1,0.9489409,1.055747e-05,5.0097287e-06,4.7868766e-06,1.706912e-05,0.01295015,1.0732622e-06,0.03807049
70,4,Coccinella septempunctata,7,Other,0,4.9555002e-08,5.162664e-08,4.505868e-08,1.9040284e-07,0.0052924547,6.9242684e-05,8.207897e-08,0.9946378
71,7,Other,7,Other,1,0.46461177,0.024929315,3.9691807e-07,3.4252243e-06,7.0390945e-07,0.0075126113,4.471495e-06,0.50293726
72,7,Other,7,Other,1,1.0829658e-09,8.7579475e-12,4.996638e-10,3.5923764e-12,2.7872675e-13,1.6396436e-10,2.4317424e-13,1.0
73,7,Other,7,Other,1,2.5007136e-12,9.65733e-19,5.9214574e-13,2.4738829e-14,3.895919e-12,3.056172e-14,2.198336e-15,1.0
74,2,Harmonia axyridis,2,Harmonia axyridis,1,5.448097e-07,7.209188e-08,0.9631569,3.5694063e-06,9.110787e-07,1.1374286e-08,7.7708717e-07,0.036837336
75,7,Other,7,Other,1,2.0566547e-15,3.9863748e-13,1.2807888e-12,1.07588306e-10,7.435286e-15,1.6079274e-13,6.171755e-10,1.0
76,6,Nymphalis antiopa,6,Nymphalis antiopa,1,0.0062660263,0.0066120727,4.1417184e-06,0.0010696215,0.006988545,0.00021539086,0.97835827,0.0004859285
77,2,Harmonia axyridis,2,Harmonia axyridis,1,1.2333365e-07,0.00015406281,0.99826044,7.3044275e-06,0.0014946262,2.0193815e-08,7.441065e-07,8.269021e-05
78,7,Other,7,Other,1,0.0006660158,3.7039055e-07,3.040664e-06,4.1277062e-06,4.622931e-06,2.2394305e-07,3.89998e-08,0.9993216
79,4,Coccinella septempunctata,4,Coccinella septempunctata,1,1.1771296e-14,1.4421949e-13,9.834049e-11,2.828378e-15,1.0,1.4430865e-13,2.7716834e-15,2.4350922e-14
80,7,Other,7,Other,1,1.6274475e-06,2.5964556e-10,3.5199212e-09,4.277057e-08,1.2095882e-08,2.3475186e-05,3.234358e-07,0.9999745
81,1,Vanessa atalanta,1,Vanessa atalanta,1,0.0013765701,0.9981604,5.647625e-07,0.0002188154,1.0121675e-07,2.7195965e-06,4.310136e-05,0.00019766287
82,1,Vanessa atalanta,1,Vanessa atalanta,1,7.4543655e-06,0.99953043,1.19185355e-08,1.156197e-06,1.1931989e-10,1.2250478e-05,0.0003576369,9.105384e-05
83,7,Other,7,Other,1,1.6620225e-12,3.3342543e-10,6.749155e-09,6.436276e-11,1.5059861e-09,2.6053597e-08,1.2624073e-08,1.0
84,7,Other,7,Other,1,6.506693e-11,7.3920665e-09,4.8066262e-08,4.4732154e-08,1.2265801e-10,1.1167514e-11,1.0872023e-09,0.9999999
85,0,Apis mellifera,7,Other,0,0.019852057,1.1149302e-07,2.2379815e-10,3.6358433e-08,1.6684335e-09,7.439843e-07,4.967045e-10,0.98014706
86,7,Other,7,Other,1,1.5946885e-08,8.183479e-08,0.00032178563,6.7404293e-10,2.907785e-07,4.0454265e-11,1.5116628e-07,0.9996778
87,0,Apis mellifera,7,Other,0,0.25650704,1.0630565e-05,5.125789e-09,2.055231e-06,5.139003e-06,7.967599e-06,1.1093011e-06,0.743466
88,7,Other,7,Other,1,0.17248568,0.111558944,7.054056e-05,0.00016668891,0.00524011,0.007666897,0.045679387,0.65713173
89,3,Pieris rapae,3,Pieris rapae,1,1.4701149e-05,2.5815743e-07,8.971295e-10,0.99540293,1.4183865e-08,1.1966982e-05,0.000776865,0.0037932033
90,7,Other,7,Other,1,5.791868e-10,1.3643108e-08,1.4128025e-07,9.62891e-08,2.661085e-09,4.529627e-10,2.0059845e-10,0.99999976
91,0,Apis mellifera,0,Apis mellifera,1,0.9981342,1.1544531e-06,0.0005822928,1.258405e-05,5.393147e-07,1.9955273e-07,3.322533e-07,0.0012685835
92,7,Other,7,Other,1,1.01237655e-11,9.541089e-15,1.8851863e-13,7.042982e-12,1.9526393e-11,1.05515145e-11,1.6086063e-12,1.0
93,5,Vanessa cardui,5,Vanessa cardui,1,1.3080333e-10,1.1187844e-09,2.865169e-15,2.3752127e-12,1.4815893e-12,0.99999976,6.357186e-12,1.9011843e-07
94,0,Apis mellifera,0,Apis mellifera,1,0.9334192,0.0080344025,2.942915e-07,0.0005964233,0.0012251398,2.4490625e-06,0.023138827,0.03358313
95,2,Harmonia axyridis,2,Harmonia axyridis,1,2.5243352e-07,4.1267657e-07,0.9999293,1.9134253e-08,1.9886418e-08,4.3202294e-07,3.5414793e-09,6.9533424e-05
96,2,Harmonia axyridis,2,Harmonia axyridis,1,1.8963096e-09,2.429629e-10,0.99999297,6.989887e-11,7.0419537e-06,5.14203e-15,2.8967982e-13,9.782687e-10
97,0,Apis mellifera,7,Other,0,0.044966657,2.4757003e-07,9.476464e-11,1.2977049e-10,1.9304103e-09,3.8590736e-07,1.2800353e-09,0.9550327
98,7,Other,7,Other,1,3.3408712e-12,1.5128844e-12,7.712772e-10,7.5748686e-14,2.619889e-13,1.9394477e-11,8.066661e-08,0.9999999
99,7,Other,7,Other,1,3.2633218e-07,0.03430693,4.403538e-05,2.3509354e-05,1.1333964e-06,0.0020512836,7.117789e-06,0.96356565
100,5,Vanessa cardui,5,Vanessa cardui,1,0.00056571583,0.057972725,0.044747576,5.793236e-05,0.055102337,0.7683551,0.010401471,0.06279721
101,7,Other,7,Other,1,6.091383e-07,4.570242e-11,7.2799483e-10,1.2553649e-07,7.466912e-07,3.033734e-09,6.6968334e-11,0.99999857
102,7,Other,7,Other,1,1.5494745e-05,7.671578e-07,2.5621467e-09,2.4462496e-09,2.0450294e-07,1.7274068e-09,7.9939977e-10,0.99998355
103,1,Vanessa atalanta,1,Vanessa atalanta,1,6.789952e-08,0.99981767,0.00016925903,4.2724707e-07,1.0398003e-08,4.2787627e-07,6.5464874e-06,5.505035e-06
104,7,Other,7,Other,1,1.4089451e-09,6.9190977e-09,1.675452e-11,5.047925e-10,6.282564e-11,2.1332818e-08,7.325771e-10,1.0
105,7,Other,7,Other,1,7.495836e-10,5.2345306e-15,1.9264076e-11,6.8708136e-11,8.5155945e-11,1.8922237e-11,6.2577956e-15,1.0
106,0,Apis mellifera,0,Apis mellifera,1,0.8191031,0.000432793,0.055645794,0.00030361387,0.0012726117,0.00031918482,0.07748651,0.045436367
107,7,Other,7,Other,1,1.3418754e-09,2.885541e-09,5.5960694e-08,0.045465805,1.2291082e-08,2.948256e-09,1.8677019e-06,0.95453227
108,5,Vanessa cardui,7,Other,0,0.0002343991,5.2428353e-05,5.1174663e-08,0.024160055,4.451113e-08,0.0007526477,0.10102145,0.87377894
109,7,Other,7,Other,1,6.2376785e-06,8.988399e-08,0.04273359,6.230405e-05,0.00017101184,0.00025548507,1.9889121e-05,0.9567515
110,1,Vanessa atalanta,1,Vanessa atalanta,1,5.626882e-07,0.99748343,3.6100424e-08,8.362048e-10,1.6589169e-10,0.0024067347,2.559231e-07,0.00010905248
111,7,Other,7,Other,1,2.2110852e-08,5.374333e-12,6.0376864e-12,3.406973e-08,3.6463547e-11,1.9066945e-10,9.032009e-12,1.0
112,0,Apis mellifera,0,Apis mellifera,1,0.97180027,9.608329e-05,1.9909355e-06,0.00011838887,0.00066123763,0.0019676795,0.0005588485,0.024795623
113,4,Coccinella septempunctata,7,Other,0,0.22459538,0.0011171446,8.937992e-05,0.2478388,0.0030737845,0.18220961,0.0020663443,0.33900955
114,3,Pieris rapae,3,Pieris rapae,1,4.060265e-06,1.1209179e-07,5.802571e-06,0.9999318,8.775526e-08,7.185695e-11,4.3474192e-05,1.4617924e-05
115,0,Apis mellifera,7,Other,0,0.0001904292,2.1638731e-10,4.2235264e-08,2.1603203e-08,7.1378504e-06,1.8700177e-09,8.1924516e-11,0.9998024
116,3,Pieris rapae,3,Pieris rapae,1,2.8858793e-08,7.929492e-08,1.1946781e-09,0.9999982,9.968838e-10,6.65104e-08,3.0053705e-08,1.5209008e-06
117,7,Other,6,Nymphalis antiopa,0,0.0009983637,0.0015780253,4.1995558e-05,0.00018802659,3.354066e-06,0.0003244115,0.98662716,0.010238578
118,7,Other,7,Other,1,1.0057941e-08,1.6519383e-08,7.907622e-12,0.000104709,1.4808125e-09,6.8425026e-05,2.023368e-06,0.9998248
119,7,Other,7,Other,1,0.0003267517,1.819654e-05,7.7257674e-08,2.0652708e-08,3.564242e-09,2.4898824e-07,1.2406873e-08,0.99965477
120,7,Other,7,Other,1,4.252474e-08,3.03069e-06,4.389894e-10,6.9925205e-10,1.5884533e-10,2.0610343e-05,5.0798734e-09,0.9999763
121,7,Other,7,Other,1,6.5172376e-06,0.021752642,6.161887e-08,0.0008170341,3.158208e-07,0.015737604,0.0003243416,0.9613615
122,7,Other,7,Other,1,8.8509616e-05,1.36357245e-08,1.4337684e-07,2.3586633e-06,7.698526e-06,2.9945046e-08,1.9318188e-07,0.99990094
123,0,Apis mellifera,5,Vanessa cardui,0,0.017845996,1.1321723e-07,2.8816685e-06,7.3205492e-06,0.00032983147,0.9124132,1.2374373e-07,0.069400586
124,2,Harmonia axyridis,2,Harmonia axyridis,1,6.519482e-06,1.4826251e-06,0.67723566,0.00030709693,2.7458977e-06,0.000120250304,0.0007662026,0.32156008
125,7,Other,7,Other,1,1.7037695e-10,2.2423206e-13,7.874406e-15,3.810319e-08,2.7825465e-12,4.7483542e-08,1.3630859e-08,1.0
126,2,Harmonia axyridis,2,Harmonia axyridis,1,7.319843e-12,5.6685757e-11,0.9999962,7.449529e-10,3.8234275e-06,1.233013e-12,2.1262832e-11,7.952479e-09
127,1,Vanessa atalanta,7,Other,0,0.00021471664,0.30171764,2.6249201e-05,9.931516e-07,2.0000653e-07,3.7879481e-06,0.016928589,0.6811078
128,7,Other,7,Other,1,1.0467803e-05,1.5591099e-06,1.8372197e-05,0.00027247667,6.558272e-08,1.1936151e-05,0.015833054,0.98385215
129,7,Other,7,Other,1,2.100728e-06,5.8267083e-06,6.4666683e-06,4.8629005e-07,3.9587672e-08,4.0395327e-09,1.18496416e-07,0.999985
130,7,Other,7,Other,1,4.1076336e-07,2.1938425e-07,1.8755777e-08,4.4076336e-05,2.6955713e-05,1.5289272e-06,9.80865e-09,0.9999268
131,7,Other,7,Other,1,8.523172e-10,1.617693e-11,9.941797e-10,2.9517555e-10,1.4606898e-10,1.32829125e-08,9.911494e-12,1.0
132,7,Other,7,Other,1,0.0006505702,3.7651873e-09,5.6087472e-08,3.5932712e-07,2.7881012e-07,3.7826186e-07,4.6423856e-09,0.99934834
133,7,Other,7,Other,1,3.7638958e-06,3.6237256e-05,2.3030461e-07,2.085331e-05,0.0048788562,0.14693835,1.4661916e-06,0.8481202
134,7,Other,7,Other,1,3.8292156e-13,6.6256806e-15,1.7832591e-13,1.2602354e-11,1.193534e-10,1.09577484e-14,3.0359234e-15,1.0
135,7,Other,7,Other,1,3.7899215e-05,7.0784827e-06,5.112004e-08,3.6426292e-05,0.00014766741,4.48461e-05,6.3661464e-05,0.9996624
136,5,Vanessa cardui,7,Other,0,1.8240853e-07,6.123194e-05,4.1767523e-10,6.313915e-09,3.201783e-08,0.3862982,8.1912395e-07,0.61363953
137,1,Vanessa atalanta,1,Vanessa atalanta,1,2.9753866e-11,0.9999999,6.171725e-08,8.6620155e-10,3.8448207e-12,3.697205e-11,5.0888476e-09,1.5516283e-10
138,7,Other,4,Coccinella septempunctata,0,1.5239785e-08,9.559179e-07,0.28474814,4.6698747e-09,0.7149507,9.9533914e-08,2.7515143e-10,0.00030006864
139,7,Other,7,Other,1,2.873872e-15,1.981691e-11,6.579803e-11,1.8058902e-10,3.1722853e-17,3.9935088e-15,2.0218615e-13,1.0
140,7,Other,7,Other,1,6.200328e-11,2.3708419e-11,3.51576e-11,8.5809637e-10,2.3593072e-11,5.197359e-09,1.5068754e-11,1.0
141,7,Other,7,Other,1,1.0651315e-06,7.9893453e-10,9.848953e-08,8.734597e-08,5.0302423e-10,4.927203e-10,1.02015775e-07,0.99999857
142,7,Other,7,Other,1,9.8195035e-11,9.636995e-16,4.915929e-13,2.1679737e-10,7.86246e-11,1.4057038e-11,5.4325783e-14,1.0
143,0,Apis mellifera,0,Apis mellifera,1,0.8894976,0.003106732,1.03558895e-08,0.003572961,1.8927145e-06,0.00023553596,2.784692e-05,0.10355734
144,3,Pieris rapae,3,Pieris rapae,1,3.594687e-05,4.6326531e-10,3.61115e-10,0.9630273,4.2971482e-10,8.049473e-10,8.062942e-12,0.036936786
145,0,Apis mellifera,7,Other,0,0.16791283,0.00044413717,1.4876427e-05,0.053536635,2.8285336e-07,6.7604795e-08,4.8816037e-07,0.77809066
146,1,Vanessa atalanta,1,Vanessa atalanta,1,0.032911204,0.87064093,2.9109813e-06,0.005020842,0.00013842458,0.05879028,0.026834665,0.005660667
147,7,Other,7,Other,1,4.5939672e-05,1.8433491e-06,2.7647786e-06,5.586311e-06,8.32913e-06,1.01674004e-07,4.444874e-05,0.9998909
148,1,Vanessa atalanta,1,Vanessa atalanta,1,8.273456e-07,0.95020896,0.04977198,8.520496e-08,1.4927063e-07,2.78719e-07,1.2944273e-06,1.6525686e-05
149,7,Other,7,Other,1,3.8456136e-08,4.5052181e-10,1.7901328e-09,6.0371715e-11,1.0158394e-10,2.4375533e-08,2.6767671e-11,1.0
150,7,Other,7,Other,1,1.0690462e-10,9.0868e-11,7.3812143e-09,5.279449e-07,1.4974395e-07,4.0549338e-11,2.1441136e-13,0.9999994
151,1,Vanessa atalanta,1,Vanessa atalanta,1,0.00033529458,0.9995944,4.972706e-08,1.0252463e-05,4.647033e-07,3.3249496e-06,4.4993176e-06,5.1778312e-05
152,3,Pieris rapae,3,Pieris rapae,1,1.9508763e-09,8.761709e-11,4.235118e-10,0.99999595,1.347335e-10,1.1736605e-11,3.2558125e-09,4.032443e-06
153,6,Nymphalis antiopa,6,Nymphalis antiopa,1,5.364117e-07,1.3437184e-06,3.0563374e-09,5.937603e-11,3.6375333e-11,8.017883e-08,0.9999963,1.6757248e-06
154,0,Apis mellifera,0,Apis mellifera,1,0.99670994,4.4118737e-05,3.2567975e-08,2.510299e-06,0.00013784562,0.0002471635,2.641061e-07,0.002858188
155,3,Pieris rapae,3,Pieris rapae,1,4.5641237e-08,7.249259e-09,2.3267985e-09,0.99071664,7.2331408e-09,1.1196649e-08,1.1287543e-08,0.009283306
156,7,Other,7,Other,1,1.6533486e-06,1.217167e-07,3.997564e-09,0.00036335588,1.1239988e-08,1.3177698e-08,4.556975e-09,0.99963486
157,7,Other,7,Other,1,4.6077478e-10,4.679437e-09,5.978327e-12,1.1634001e-10,7.885243e-11,8.8255805e-11,1.8968835e-09,1.0
158,7,Other,7,Other,1,4.098721e-06,1.95144e-06,1.3752609e-06,0.0002583481,6.4444157e-07,5.392718e-05,3.1289303e-05,0.99964833
159,7,Other,7,Other,1,1.4487247e-06,1.6702084e-05,1.1202054e-06,5.901902e-07,7.568828e-06,1.1384902e-07,3.9091566e-09,0.99997246
160,3,Pieris rapae,3,Pieris rapae,1,7.494464e-08,2.9791122e-13,1.52563e-07,0.9545098,6.0316625e-06,6.573841e-10,9.868575e-11,0.045483943
161,4,Coccinella septempunctata,4,Coccinella septempunctata,1,1.1607855e-08,1.6292045e-08,0.0020539893,4.4803527e-12,0.9979457,2.25982e-10,9.1303454e-10,1.8950695e-07
162,7,Other,7,Other,1,1.1596893e-09,5.491034e-12,2.4075747e-11,4.0635524e-07,2.1514852e-08,8.3039553e-10,1.4023352e-10,0.99999964
163,7,Other,7,Other,1,7.1053463e-10,2.1891187e-09,3.5633788e-11,9.064123e-07,2.0933182e-13,9.460343e-13,1.2694723e-10,0.99999905
164,0,Apis mellifera,0,Apis mellifera,1,0.9906447,0.00093362643,0.00062170066,0.0002290809,0.0045166137,0.0005256369,8.448741e-05,0.0024441204
